Trading_date,option_code,K,P,Trading_volume,Maturity_date,T,S,q,r,Rt,Rt2,sigma2,EWMA_sigma,estimated_sigma,spot_price_using_estimation,gap
2015/4/7,10000100,2.8,0.0673,1338,2015-04-22T00:00:00Z,0.040983607,2.842,0.02030313,0.025,0.024883,0.000619,0.00027,0.260791,0.381891,0.067300981,0
2015/4/8,10000118,2.85,0.0602,1775,2015-04-22T00:00:00Z,0.038251366,2.898,0.02030313,0.025,0.019704,0.000388,0.000277,0.264201,0.366901,0.060212086,0
2015/4/9,10000100,2.8,0.0459,2133,2015-04-22T00:00:00Z,0.035519126,2.877,0.02030313,0.025,-0.007246,5.30E-05,0.000264,0.257697,0.368797,0.0459066,0
2015/4/10,10000100,2.8,0.0255,1298,2015-04-22T00:00:00Z,0.032786885,2.936,0.02030313,0.025,0.020507,0.000421,0.000273,0.262263,0.360963,0.025501663,0
2015/4/13,10000100,2.8,0.0127,2486,2015-04-22T00:00:00Z,0.024590164,2.991,0.02030313,0.025,0.018733,0.000351,0.000278,0.264502,0.391002,0.012700783,0
2015/4/14,10000129,2.9,0.0254,2198,2015-04-22T00:00:00Z,0.021857923,2.999,0.02030313,0.025,0.002675,7.00E-06,0.000261,0.256655,0.362255,0.025402337,0
2015/4/15,10000129,2.9,0.0185,3086,2015-04-22T00:00:00Z,0.019125683,3.011,0.02030313,0.025,0.004001,1.60E-05,0.000247,0.249322,0.355322,0.018507139,0
2015/4/16,10000144,3,0.0109,2991,2015-04-22T00:00:00Z,0.016393443,3.145,0.02030313,0.025,0.044503,0.001981,0.000351,0.297284,0.356584,0.010908563,0
2015/4/17,10000152,3.1,0.0224,3825,2015-04-22T00:00:00Z,0.013661202,3.185,0.02030313,0.025,0.012719,0.000162,0.000339,0.29244,0.37404,0.022409073,0
2015/4/20,10000152,3.1,0.0304,5075,2015-04-22T00:00:00Z,0.005464481,3.103,0.02030313,0.025,-0.025746,0.000663,0.000359,0.300686,0.349086,0.030408433,0
2015/4/21,10000152,3.1,0.0052,2297,2015-04-22T00:00:00Z,0.00273224,3.141,0.02030313,0.025,0.012246,0.00015,0.000346,0.295389,0.293589,0.005199643,0
2015/4/23,10000162,3.2,0.1649,1576,2015-05-27T00:00:00Z,0.092896175,3.212,0.02030313,0.025,-0.008948,8.00E-05,0.000368,0.304491,0.441291,0.164933876,0
2015/4/24,10000154,3.1,0.1304,1708,2015-05-27T00:00:00Z,0.090163934,3.171,0.02030313,0.025,-0.012765,0.000163,0.000356,0.299359,0.437859,0.130433588,0
2015/4/27,10000162,3.2,0.1378,1995,2015-05-27T00:00:00Z,0.081967213,3.255,0.02030313,0.025,0.02649,0.000702,0.000376,0.307975,0.446975,0.137803367,0
2015/4/28,10000162,3.2,0.1471,2472,2015-05-27T00:00:00Z,0.079234973,3.228,0.02030313,0.025,-0.008295,6.90E-05,0.000358,0.30033,0.44793,0.147117516,0
2015/4/29,10000162,3.2,0.143,1461,2015-05-27T00:00:00Z,0.076502732,3.22,0.02030313,0.025,-0.002478,6.00E-06,0.000337,0.29134,0.43394,0.143017631,0
2015/4/30,10000162,3.2,0.1507,1332,2015-05-27T00:00:00Z,0.073770492,3.198,0.02030313,0.025,-0.006832,4.70E-05,0.000319,0.283711,0.434511,0.150721148,0
2015/5/4,10000162,3.2,0.1344,1381,2015-05-27T00:00:00Z,0.06284153,3.211,0.02030313,0.025,0.004065,1.70E-05,0.000301,0.275522,0.438522,0.134424441,0
2015/5/5,10000162,3.2,0.184,1922,2015-05-27T00:00:00Z,0.06010929,3.096,0.02030313,0.025,-0.035814,0.001283,0.00036,0.30125,0.40965,0.184025495,0
2015/5/6,10000154,3.1,0.1306,2522,2015-05-27T00:00:00Z,0.057377049,3.083,0.02030313,0.025,-0.004199,1.80E-05,0.00034,0.292529,0.414929,0.130613246,0
2015/5/7,10000146,3,0.0906,2477,2015-05-27T00:00:00Z,0.054644809,3.045,0.02030313,0.025,-0.012326,0.000152,0.000328,0.287638,0.397938,0.090608616,0
2015/5/8,10000154,3.1,0.1291,2822,2015-05-27T00:00:00Z,0.051912568,3.055,0.02030313,0.025,0.003284,1.10E-05,0.000309,0.279168,0.377868,0.129111819,0
2015/5/11,10000154,3.1,0.0959,3571,2015-05-27T00:00:00Z,0.043715847,3.11,0.02030313,0.0225,0.018003,0.000324,0.00031,0.27957,0.39037,0.095920277,0
2015/5/12,10000154,3.1,0.0885,3258,2015-05-27T00:00:00Z,0.040983607,3.129,0.02030313,0.0225,0.006109,3.70E-05,0.000294,0.272092,0.407892,0.08851699,0
2015/5/13,10000154,3.1,0.103,2538,2015-05-27T00:00:00Z,0.038251366,3.084,0.02030313,0.0225,-0.014382,0.000207,0.000289,0.269665,0.393965,0.10301471,0
2015/5/14,10000154,3.1,0.1,2222,2015-05-27T00:00:00Z,0.035519126,3.073,0.02030313,0.0225,-0.003567,1.30E-05,0.000272,0.261818,0.370818,0.100000378,0
2015/5/15,10000146,3,0.0601,4220,2015-05-27T00:00:00Z,0.032786885,3.006,0.02030313,0.0225,-0.021803,0.000475,0.000284,0.267625,0.291425,0.060109166,0
2015/5/18,10000137,2.9,0.086,3870,2015-06-24T00:00:00Z,0.101092896,2.946,0.02030313,0.0225,-0.01996,0.000398,0.000291,0.270831,0.291231,0.086027121,0
2015/5/19,10000146,3,0.0314,5552,2015-05-27T00:00:00Z,0.021857923,3.066,0.02030313,0.0225,0.040733,0.001659,0.000373,0.306652,0.327952,0.031409237,0
2015/5/20,10000146,3,0.0297,3271,2015-05-27T00:00:00Z,0.019125683,3.066,0.02030313,0.0225,0,0,0.000351,0.29731,0.33921,0.029702152,0
2015/5/21,10000146,3,0.0158,5226,2015-05-27T00:00:00Z,0.016393443,3.104,0.02030313,0.0225,0.012394,0.000154,0.000339,0.292254,0.334554,0.015804183,0
2015/5/22,10000154,3.1,0.016,4504,2015-05-27T00:00:00Z,0.013661202,3.199,0.02030313,0.0225,0.030606,0.000937,0.000375,0.307328,0.346928,0.016003262,0
2015/5/25,10000162,3.2,0.0077,2761,2015-05-27T00:00:00Z,0.005464481,3.303,0.02030313,0.0225,0.03251,0.001057,0.000416,0.323673,0.413273,0.00770087,0
2015/5/26,10000170,3.3,0.0154,4400,2015-05-27T00:00:00Z,0.00273224,3.32,0.02030313,0.0225,0.005147,2.60E-05,0.000392,0.31445,0.34925,0.015406351,0
2015/5/28,10000172,3.3,0.29,5223,2015-06-24T00:00:00Z,0.073770492,3.079,0.02030313,0.0225,-0.062709,0.003932,0.000589,0.385237,0.452137,0.290028081,0
2015/5/29,10000148,3,0.1084,4953,2015-06-24T00:00:00Z,0.071038251,3.066,0.02030313,0.0225,-0.004222,1.80E-05,0.000555,0.373862,0.432162,0.108404673,0
2015/6/1,10000148,3,0.0549,3867,2015-06-24T00:00:00Z,0.06284153,3.198,0.02030313,0.0225,0.043053,0.001854,0.000633,0.399264,0.422964,0.05491203,0
2015/6/2,10000156,3.1,0.086,3668,2015-06-24T00:00:00Z,0.06010929,3.209,0.02030313,0.0225,0.00344,1.20E-05,0.000595,0.387332,0.433832,0.086018137,0
2015/6/3,10000137,2.9,0.0386,3745,2015-06-24T00:00:00Z,0.057377049,3.191,0.02030313,0.0225,-0.005609,3.10E-05,0.000562,0.376165,0.475265,0.038614599,0
2015/6/4,10000156,3.1,0.0731,5871,2015-06-24T00:00:00Z,0.054644809,3.259,0.02030313,0.0225,0.02131,0.000454,0.000555,0.374001,0.467601,0.073114652,0
2015/6/5,10000148,3,0.0453,4875,2015-06-24T00:00:00Z,0.051912568,3.254,0.02030313,0.0225,-0.001534,2.00E-06,0.000522,0.362656,0.480556,0.045302821,0
2015/6/8,10000148,3,0.0169,5882,2015-06-24T00:00:00Z,0.043715847,3.427,0.02030313,0.0225,0.053165,0.002827,0.00066,0.40788,0.50668,0.016900132,0
2015/6/9,10000164,3.2,0.06,5653,2015-06-24T00:00:00Z,0.040983607,3.361,0.02030313,0.0225,-0.019259,0.000371,0.000643,0.402482,0.469982,0.060021993,0
2015/6/10,10000172,3.3,0.1047,5132,2015-06-24T00:00:00Z,0.038251366,3.32,0.02030313,0.0225,-0.012199,0.000149,0.000613,0.393093,0.444093,0.104716675,0
2015/6/11,10000172,3.3,0.1199,6726,2015-06-24T00:00:00Z,0.035519126,3.3,0.02030313,0.0225,-0.006024,3.60E-05,0.000579,0.381837,0.484337,0.119910261,0
2015/6/12,10000172,3.3,0.1051,5658,2015-06-24T00:00:00Z,0.032786885,3.313,0.02030313,0.0225,0.003939,1.60E-05,0.000545,0.370522,0.467722,0.105114744,0
2015/6/15,10000172,3.3,0.126,6893,2015-06-24T00:00:00Z,0.024590164,3.216,0.02030313,0.0225,-0.029279,0.000857,0.000564,0.376843,0.377943,0.126009796,0
2015/6/16,10000172,3.3,0.1819,7725,2015-06-24T00:00:00Z,0.021857923,3.148,0.02030313,0.0225,-0.021144,0.000447,0.000557,0.374499,0.449599,0.181913351,0
2015/6/17,10000164,3.2,0.0895,7174,2015-06-24T00:00:00Z,0.019125683,3.175,0.02030313,0.0225,0.008577,7.40E-05,0.000528,0.364619,0.434919,0.089512137,0
2015/6/18,10000156,3.1,0.086,7240,2015-06-24T00:00:00Z,0.016393443,3.042,0.02030313,0.0225,-0.04189,0.001755,0.000601,0.389233,0.331733,0.085989028,0
2015/6/19,10000148,3,0.1265,7286,2015-06-24T00:00:00Z,0.013661202,2.874,0.02030313,0.0225,-0.055227,0.00305,0.000748,0.434198,0.187998,0.126498361,0
2015/6/23,10000220,3,0.1376,5061,2015-07-22T00:00:00Z,0.079234973,2.976,0.02030313,0.0225,0.035491,0.00126,0.000779,0.443014,0.374914,0.137596151,0
2015/6/24,10000220,3,0.147,7210,2015-07-22T00:00:00Z,0.076502732,3.018,0.02030313,0.0225,0.014113,0.000199,0.000744,0.433009,0.471209,0.14702254,0
2015/6/25,10000220,3,0.1843,9676,2015-07-22T00:00:00Z,0.073770492,2.919,0.02030313,0.0225,-0.032803,0.001076,0.000764,0.438768,0.439068,0.184327288,0
2015/6/26,10000234,2.75,0.1892,14062,2015-07-22T00:00:00Z,0.071038251,2.686,0.02030313,0.0225,-0.079822,0.006372,0.0011,0.526596,0.539096,0.18922215,0
2015/6/29,10000234,2.75,0.2356,10561,2015-07-22T00:00:00Z,0.06284153,2.66,0.02030313,0.02,-0.00968,9.40E-05,0.00104,0.51194,0.69384,0.235603977,0
2015/6/30,10000259,2.65,0.0801,5675,2015-07-22T00:00:00Z,0.06010929,2.851,0.02030313,0.02,0.071805,0.005156,0.001287,0.569486,0.599786,0.080108616,0
2015/7/1,10000276,2.55,0.0649,4767,2015-07-22T00:00:00Z,0.057377049,2.728,0.02030313,0.02,-0.043143,0.001861,0.001321,0.57706,0.53906,0.0648906,0
2015/7/2,10000258,2.6,0.1044,9092,2015-07-22T00:00:00Z,0.054644809,2.684,0.02030313,0.02,-0.016129,0.00026,0.001258,0.562985,0.579185,0.104405383,0
2015/7/3,10000276,2.55,0.12,11104,2015-07-22T00:00:00Z,0.051912568,2.579,0.02030313,0.02,-0.039121,0.00153,0.001274,0.566635,0.575735,0.12000024,0
2015/7/6,10000234,2.75,0.1551,6210,2015-07-22T00:00:00Z,0.043715847,2.742,0.02030313,0.02,0.063203,0.003995,0.001437,0.601838,0.660638,0.155114209,0
2015/7/7,10000234,2.75,0.119,5910,2015-07-22T00:00:00Z,0.040983607,2.79,0.02030313,0.02,0.017505,0.000306,0.001369,0.58746,0.61806,0.119014417,0
2015/7/8,10000276,2.55,0.18,7193,2015-07-22T00:00:00Z,0.038251366,2.604,0.02030313,0.02,-0.066667,0.004444,0.001554,0.625782,1.026282,0.180001728,0
2015/7/9,10000282,2.5,0.048,9281,2015-07-22T00:00:00Z,0.035519126,2.792,0.02030313,0.02,0.072197,0.005212,0.001773,0.668519,0.761819,0.048008324,0
2015/7/10,10000234,2.75,0.0772,7629,2015-07-22T00:00:00Z,0.032786885,2.905,0.02030313,0.02,0.040473,0.001638,0.001765,0.666985,0.693185,0.077217619,0
2015/7/13,10000282,2.5,0.0134,3702,2015-07-22T00:00:00Z,0.024590164,2.862,0.02030313,0.02,-0.014802,0.000219,0.001673,0.649223,0.673723,0.013405334,0
2015/7/14,10000235,2.8,0.1259,5495,2015-07-22T00:00:00Z,0.021857923,2.762,0.02030313,0.02,-0.034941,0.001221,0.001645,0.643941,0.645741,0.125915392,0
2015/7/15,10000260,2.7,0.0606,6294,2015-07-22T00:00:00Z,0.019125683,2.749,0.02030313,0.02,-0.004707,2.20E-05,0.001548,0.624592,0.551092,0.060595225,0
2015/7/16,10000260,2.7,0.0381,4618,2015-07-22T00:00:00Z,0.016393443,2.74,0.02030313,0.02,-0.003274,1.10E-05,0.001456,0.605698,0.401898,0.038088624,0
2015/7/17,10000234,2.75,0.0261,3634,2015-07-22T00:00:00Z,0.013661202,2.803,0.02030313,0.02,0.022993,0.000529,0.0014,0.594013,0.370913,0.026093308,0
2015/7/20,10000234,2.75,0.0344,5433,2015-07-22T00:00:00Z,0.005464481,2.777,0.02030313,0.02,-0.009276,8.60E-05,0.001321,0.577045,0.572545,0.03439306,0
2015/7/21,10000234,2.75,0.02,3720,2015-07-22T00:00:00Z,0.00273224,2.768,0.02030313,0.02,-0.003241,1.10E-05,0.001243,0.559608,0.488108,0.019994711,0
2015/7/23,10000268,2.75,0.1039,5089,2015-08-26T00:00:00Z,0.092896175,2.794,0.02030313,0.02,0.020826,0.000434,0.001131,0.533901,0.370501,0.103883032,0
2015/7/24,10000253,2.8,0.1713,7237,2015-08-26T00:00:00Z,0.090163934,2.745,0.02030313,0.02,-0.017538,0.000308,0.001082,0.522108,0.429008,0.171298378,0
2015/7/27,10000284,2.5,0.1224,9558,2015-08-26T00:00:00Z,0.081967213,2.494,0.02030313,0.02,-0.091439,0.008361,0.001518,0.618596,0.419396,0.122392791,0
2015/7/28,10000284,2.5,0.1338,13995,2015-08-26T00:00:00Z,0.079234973,2.484,0.02030313,0.02,-0.00401,1.60E-05,0.001428,0.599954,0.449854,0.133783871,0
2015/7/29,10000284,2.5,0.1157,7862,2015-08-26T00:00:00Z,0.076502732,2.534,0.02030313,0.02,0.020129,0.000405,0.001367,0.586919,0.476119,0.115681646,0
2015/7/30,10000284,2.5,0.1702,6929,2015-08-26T00:00:00Z,0.073770492,2.469,0.02030313,0.02,-0.025651,0.000658,0.001324,0.577715,0.574215,0.170196919,0
2015/7/31,10000284,2.5,0.1529,8487,2015-08-26T00:00:00Z,0.071038251,2.462,0.02030313,0.02,-0.002835,8.00E-06,0.001245,0.560224,0.505324,0.152875555,0
2015/8/3,10000284,2.5,0.1425,6501,2015-08-26T00:00:00Z,0.06284153,2.478,0.02030313,0.02,0.006499,4.20E-05,0.001173,0.543744,0.528044,0.142481077,0
2015/8/4,10000284,2.5,0.0815,8641,2015-08-26T00:00:00Z,0.06010929,2.54,0.02030313,0.02,0.02502,0.000626,0.00114,0.536082,0.407082,0.081481907,0
2015/8/5,10000284,2.5,0.1145,7668,2015-08-26T00:00:00Z,0.057377049,2.491,0.02030313,0.02,-0.019291,0.000372,0.001094,0.525136,0.461636,0.114479318,0
2015/8/6,10000284,2.5,0.1168,9353,2015-08-26T00:00:00Z,0.054644809,2.471,0.02030313,0.02,-0.008029,6.40E-05,0.001033,0.510094,0.439094,0.116783547,0
2015/8/7,10000284,2.5,0.0789,3096,2015-08-26T00:00:00Z,0.051912568,2.504,0.02030313,0.02,0.013355,0.000178,0.000981,0.497274,0.355974,0.078886873,0
2015/8/10,10000284,2.5,0.036,11483,2015-08-26T00:00:00Z,0.043715847,2.616,0.02030313,0.02,0.044728,0.002001,0.001042,0.512537,0.380537,0.035984722,0
2015/8/11,10000284,2.5,0.0413,10424,2015-08-26T00:00:00Z,0.040983607,2.59,0.02030313,0.02,-0.009939,9.90E-05,0.000986,0.498423,0.380623,0.041283219,0
2015/8/12,10000284,2.5,0.0421,8893,2015-08-26T00:00:00Z,0.038251366,2.564,0.02030313,0.02,-0.010039,0.000101,0.000933,0.484813,0.351713,0.042084803,0
2015/8/13,10000284,2.5,0.04,9085,2015-08-26T00:00:00Z,0.035519126,2.576,0.02030313,0.02,0.00468,2.20E-05,0.000878,0.470396,0.375796,0.039988634,0
2015/8/14,10000284,2.5,0.04,6081,2015-08-26T00:00:00Z,0.032786885,2.575,0.02030313,0.02,-0.000388,0,0.000825,0.456069,0.389169,0.039983623,0
2015/8/17,10000284,2.5,0.0565,9565,2015-08-26T00:00:00Z,0.024590164,2.548,0.02030313,0.02,-0.010485,0.00011,0.000782,0.444051,0.495351,0.056506254,0
2015/8/18,10000284,2.5,0.1365,13001,2015-08-26T00:00:00Z,0.021857923,2.41,0.02030313,0.02,-0.05416,0.002933,0.000912,0.479272,0.580372,0.136511492,0
2015/8/19,10000284,2.5,0.1164,11718,2015-08-26T00:00:00Z,0.019125683,2.427,0.02030313,0.02,0.007054,5.00E-05,0.00086,0.465481,0.546881,0.11640631,0
2015/8/20,10000036,2.2,0.0729,8103,2015-09-23T00:00:00Z,0.092896175,2.361,0.02030313,0.02,-0.027194,0.00074,0.000853,0.463523,0.501723,0.072903421,0
2015/8/21,10000036,2.2,0.088,13581,2015-09-23T00:00:00Z,0.090163934,2.274,0.02030313,0.02,-0.036849,0.001358,0.000883,0.471691,0.453991,0.087984686,0
2015/8/24,10000036,2.2,0.2964,21501,2015-09-23T00:00:00Z,0.081967213,2.047,0.02030313,0.02,-0.099824,0.009965,0.001428,0.599843,0.875243,0.296419224,0
2015/8/25,10000361,1.95,0.253,17201,2015-09-23T00:00:00Z,0.079234973,1.886,0.02030313,0.02,-0.078652,0.006186,0.001713,0.657082,1.024682,0.253020238,0
2015/8/26,10000361,1.95,0.227,15673,2015-09-23T00:00:00Z,0.076502732,1.946,0.02030313,0.0175,0.031813,0.001012,0.001671,0.648964,1.051064,0.227020337,0
2015/8/27,10000361,1.95,0.1125,12979,2015-09-23T00:00:00Z,0.073770492,2.11,0.02030313,0.0175,0.084275,0.007102,0.001997,0.709417,0.826817,0.11250414,0
2015/8/28,10000361,1.95,0.101,10984,2015-09-23T00:00:00Z,0.071038251,2.168,0.02030313,0.0175,0.027488,0.000756,0.001923,0.696061,0.872861,0.101002644,0
2015/8/31,10000390,1.8,0.0605,11142,2015-09-23T00:00:00Z,0.06284153,2.209,0.02030313,0.0175,0.018911,0.000358,0.001829,0.678851,1.017151,0.06050577,0
2015/9/1,10000390,1.8,0.0692,8994,2015-09-23T00:00:00Z,0.06010929,2.228,0.02030313,0.0175,0.008601,7.40E-05,0.001723,0.659019,1.125219,0.069208657,0
2015/9/2,10000390,1.8,0.0667,10600,2015-09-23T00:00:00Z,0.057377049,2.236,0.02030313,0.0175,0.003591,1.30E-05,0.001621,0.639095,1.143995,0.066703104,0
2015/9/7,10000036,2.2,0.195,9749,2015-09-23T00:00:00Z,0.043715847,2.14,0.02030313,0.0175,-0.042934,0.001843,0.001634,0.641722,0.903422,0.195009049,0
2015/9/8,10000036,2.2,0.1106,9436,2015-09-23T00:00:00Z,0.040983607,2.177,0.02030313,0.0175,0.01729,0.000299,0.001554,0.625794,0.558194,0.110583924,0
2015/9/9,10000036,2.2,0.091,10277,2015-09-23T00:00:00Z,0.038251366,2.209,0.02030313,0.0175,0.014699,0.000216,0.001474,0.609416,0.554716,0.09098404,0
2015/9/10,10000036,2.2,0.0748,11323,2015-09-23T00:00:00Z,0.035519126,2.206,0.02030313,0.0175,-0.001358,2.00E-06,0.001385,0.590875,0.469275,0.074797288,0
2015/9/11,10000036,2.2,0.0667,8391,2015-09-23T00:00:00Z,0.032786885,2.193,0.02030313,0.0175,-0.005893,3.50E-05,0.001304,0.573332,0.397532,0.066687266,0
2015/9/14,10000036,2.2,0.0969,12591,2015-09-23T00:00:00Z,0.024590164,2.223,0.02030313,0.0175,0.01368,0.000187,0.001237,0.558406,0.781106,0.096912738,0
2015/9/15,10000036,2.2,0.098,12635,2015-09-23T00:00:00Z,0.021857923,2.167,0.02030313,0.0175,-0.025191,0.000635,0.001201,0.550185,0.624485,0.09800531,0
2015/9/16,10000036,2.2,0.0357,14668,2015-09-23T00:00:00Z,0.019125683,2.242,0.02030313,0.0175,0.03461,0.001198,0.001201,0.550139,0.441439,0.035689742,0
2015/9/17,10000036,2.2,0.0521,11626,2015-09-23T00:00:00Z,0.016393443,2.198,0.02030313,0.0175,-0.019625,0.000385,0.001152,0.538811,0.454611,0.052097519,0
2015/9/18,10000036,2.2,0.039,7641,2015-09-23T00:00:00Z,0.013661202,2.198,0.02030313,0.0175,0,0,0.001083,0.522396,0.370196,0.03899689,0
2015/9/21,10000036,2.2,0.0197,5213,2015-09-23T00:00:00Z,0.005464481,2.212,0.02030313,0.0175,0.006369,4.10E-05,0.00102,0.507087,0.387887,0.019698693,0
2015/9/22,10000036,2.2,0.0029,5490,2015-09-23T00:00:00Z,0.00273224,2.237,0.02030313,0.0175,0.011302,0.000128,0.000967,0.4936,0.3124,0.002899727,0
2015/9/23,10000420,2.2,0.1257,8679,2015-10-28T00:00:00Z,0.095628415,2.18,0.02030313,0.0175,-0.025481,0.000649,0.000948,0.488711,0.427211,0.125696153,0
2015/9/24,10000420,2.2,0.1146,5874,2015-10-28T00:00:00Z,0.092896175,2.187,0.02030313,0.0175,0.003211,1.00E-05,0.000892,0.473988,0.404688,0.114587532,0
2015/9/25,10000420,2.2,0.1155,7081,2015-10-28T00:00:00Z,0.090163934,2.171,0.02030313,0.0175,-0.007316,5.40E-05,0.000841,0.460428,0.383028,0.115493648,0
